segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
stream,601,477.0,478.045,463.045,493.045
stream,602,477.0,478.045,463.045,493.045
stream,603,476.0,478.045,463.045,493.045
stream,604,477.0,478.045,463.045,493.045
stream,605,477.0,478.045,463.045,493.045
stream,606,477.0,478.045,463.045,493.045
stream,607,477.0,478.045,463.045,493.045
stream,608,478.0,478.045,463.045,493.045
stream,609,477.0,478.045,463.045,493.045
stream,610,478.0,478.045,463.045,493.045
stream,611,478.0,478.045,463.045,493.045
stream,612,478.0,478.045,463.045,493.045
stream,613,478.0,478.045,463.045,493.045
stream,614,478.0,478.045,463.045,493.045
stream,615,477.0,478.045,463.045,493.045
stream,616,478.0,478.045,463.045,493.045
stream,617,477.0,478.045,463.045,493.045
stream,618,478.0,478.045,463.045,493.045
stream,619,477.0,478.045,463.045,493.045
stream,620,478.0,478.045,463.045,493.045
stream,621,477.0,478.045,463.045,493.045
stream,622,478.0,478.045,463.045,493.045
stream,623,478.0,478.045,463.045,493.045
stream,624,478.0,478.045,463.045,493.045
stream,625,478.0,478.045,463.045,493.045
stream,626,478.0,478.045,463.045,493.045
stream,627,478.0,478.045,463.045,493.045
stream,628,478.0,478.045,463.045,493.045
stream,629,478.0,478.045,463.045,493.045
stream,630,478.0,478.045,463.045,493.045
stream,631,478.0,478.045,463.045,493.045
stream,632,478.0,478.045,463.045,493.045
stream,633,478.0,478.045,463.045,493.045
stream,634,478.0,478.045,463.045,493.045
stream,635,477.0,478.045,463.045,493.045
stream,636,478.0,478.045,463.045,493.045
stream,637,478.0,478.045,463.045,493.045
stream,638,477.0,478.045,463.045,493.045
stream,639,478.0,478.045,463.045,493.045
stream,640,478.0,478.045,463.045,493.045
stream,641,478.0,478.045,463.045,493.045
stream,642,478.0,478.045,463.045,493.045
stream,643,478.0,478.045,463.045,493.045
stream,644,478.0,478.045,463.045,493.045
stream,645,478.0,478.045,463.045,493.045
stream,646,478.0,478.045,463.045,493.045
stream,647,478.0,478.045,463.045,493.045
stream,648,478.0,478.045,463.045,493.045
stream,649,477.0,478.045,463.045,493.045
stream,650,477.0,478.045,463.045,493.045
stream,651,478.0,478.045,463.045,493.045
stream,652,477.0,478.045,463.045,493.045
stream,653,478.0,478.045,463.045,493.045
stream,654,477.0,478.045,463.045,493.045
stream,655,477.0,478.045,463.045,493.045
stream,656,478.0,478.045,463.045,493.045
